ai_condition_detail,confidence_band,mean_accuracy,n,avg_confidence,pct_total,pct_in_band
AI - correct suggestion,High Confidence(8-10),0.8888888888888888,81,9.45679012345679,14.3,34.9
AI - correct suggestion,Low confidence(0-5),0.5128205128205128,39,3.5384615384615383,6.9,16.5
AI - correct suggestion,Medium Confidence(6-7),0.8333333333333334,24,6.5,4.2,24.0
AI - wrong suggestion,High Confidence(8-10),0.4230769230769231,52,9.5,9.2,22.4
AI - wrong suggestion,Low confidence(0-5),0.26229508196721313,61,3.4262295081967213,10.7,25.8
AI - wrong suggestion,Medium Confidence(6-7),0.1935483870967742,31,6.483870967741935,5.5,31.0
No AI,High Confidence(8-10),0.7676767676767676,99,9.535353535353535,17.4,42.7
No AI,Low confidence(0-5),0.3602941176470588,136,2.713235294117647,23.9,57.6
No AI,Medium Confidence(6-7),0.4222222222222222,45,6.511111111111111,7.9,45.0
